Datetime,Close,High,Low,Open,Volume
2022-07-06 03:45:00+00:00,15880.0498046875,15904.849609375,15801.5,15818.2001953125,0
2022-07-06 04:45:00+00:00,15904.400390625,15926.849609375,15865.75,15880.400390625,0
2022-07-06 05:45:00+00:00,15883.2001953125,15885.7998046875,15857.9501953125,15862.9501953125,0
2022-07-06 06:45:00+00:00,16000.0,16000.0,15881.900390625,15883.2998046875,0
2022-07-06 07:45:00+00:00,15918.5,16001.0498046875,15910.099609375,15998.9501953125,0
2022-07-06 08:45:00+00:00,15994.25,15994.900390625,15907.9501953125,15918.650390625,0
2022-07-06 09:45:00+00:00,16008.0498046875,16010.7998046875,15992.0,15992.0,0
2022-07-07 03:45:00+00:00,16091.7998046875,16138.0498046875,16064.150390625,16113.75,0
2022-07-07 04:45:00+00:00,16093.650390625,16126.150390625,16089.0498046875,16092.0498046875,0
2022-07-07 05:45:00+00:00,16096.7001953125,16118.5498046875,16085.25,16093.5498046875,0
2022-07-07 06:45:00+00:00,16109.150390625,16130.650390625,16090.150390625,16096.75,0
2022-07-07 07:45:00+00:00,16060.099609375,16142.9501953125,16058.25,16109.7001953125,0
2022-07-07 08:45:00+00:00,16127.400390625,16150.0498046875,16047.0498046875,16059.5,0
2022-07-07 09:45:00+00:00,16138.900390625,16140.7001953125,16124.150390625,16127.9501953125,0
2022-07-08 03:45:00+00:00,16196.4501953125,16273.650390625,16177.650390625,16273.650390625,0
2022-07-08 04:45:00+00:00,16203.75,16218.7998046875,16190.400390625,16195.7001953125,0
2022-07-08 05:45:00+00:00,16180.2998046875,16207.75,16173.5498046875,16203.7001953125,0
2022-07-08 06:45:00+00:00,16196.0,16210.9501953125,16174.0,16180.099609375,0
2022-07-08 07:45:00+00:00,16189.25,16226.400390625,16179.75,16196.849609375,0
2022-07-08 08:45:00+00:00,16230.0498046875,16236.5498046875,16157.900390625,16189.0,0
2022-07-08 09:45:00+00:00,16217.5,16232.849609375,16214.150390625,16230.099609375,0
2022-07-11 03:45:00+00:00,16167.5,16175.0,16115.650390625,16136.150390625,0
2022-07-11 04:45:00+00:00,16160.349609375,16172.4501953125,16143.5,16167.099609375,0
2022-07-11 05:45:00+00:00,16146.75,16162.2001953125,16128.2998046875,16160.25,0
2022-07-11 06:45:00+00:00,16169.75,16172.25,16117.2001953125,16146.849609375,0
2022-07-11 07:45:00+00:00,16211.599609375,16226.5498046875,16160.599609375,16169.849609375,0
2022-07-11 08:45:00+00:00,16218.0498046875,16248.400390625,16209.150390625,16211.5498046875,0
2022-07-11 09:45:00+00:00,16199.0498046875,16222.7001953125,16194.25,16218.7001953125,0
2022-07-12 03:45:00+00:00,16142.2001953125,16156.7001953125,16104.400390625,16126.2001953125,0
2022-07-12 04:45:00+00:00,16146.150390625,16158.650390625,16132.599609375,16142.0,0
2022-07-12 05:45:00+00:00,16122.7998046875,16146.650390625,16107.400390625,16145.900390625,0
2022-07-12 06:45:00+00:00,16080.650390625,16122.4501953125,16070.25,16122.4501953125,0
2022-07-12 07:45:00+00:00,16134.9501953125,16134.9501953125,16079.849609375,16080.5,0
2022-07-12 08:45:00+00:00,16056.2998046875,16144.5498046875,16056.2998046875,16134.7998046875,0
2022-07-12 09:45:00+00:00,16037.75,16057.599609375,16032.25,16055.849609375,0
2022-07-13 03:45:00+00:00,16129.25,16139.849609375,16103.0498046875,16128.2001953125,0
2022-07-13 04:45:00+00:00,16077.5,16131.5498046875,16056.7998046875,16129.0,0
2022-07-13 05:45:00+00:00,16084.9501953125,16102.7001953125,16066.099609375,16077.4501953125,0
2022-07-13 06:45:00+00:00,16001.75,16094.7998046875,15990.150390625,16084.900390625,0
2022-07-13 07:45:00+00:00,15981.7998046875,16008.849609375,15968.5,16001.900390625,0
2022-07-13 08:45:00+00:00,15959.7998046875,16007.5498046875,15950.5498046875,15981.650390625,0
2022-07-13 09:45:00+00:00,15975.75,15982.2998046875,15955.9501953125,15959.75,0
2022-07-14 03:45:00+00:00,16048.5,16070.5,15995.150390625,16018.849609375,0
2022-07-14 04:45:00+00:00,16005.650390625,16052.7001953125,16003.400390625,16049.150390625,0
2022-07-14 05:45:00+00:00,15956.7001953125,16005.9501953125,15937.7998046875,16005.9501953125,0
2022-07-14 06:45:00+00:00,15972.4501953125,16002.150390625,15942.7001953125,15957.4501953125,0
2022-07-14 07:45:00+00:00,15872.2998046875,15972.2998046875,15871.75,15972.2998046875,0
2022-07-14 08:45:00+00:00,15942.5,15954.7998046875,15859.2001953125,15872.400390625,0
2022-07-14 09:45:00+00:00,15947.9501953125,15955.099609375,15934.5,15942.5498046875,0
2022-07-15 03:45:00+00:00,15989.9501953125,16038.150390625,15962.150390625,16010.7998046875,0
2022-07-15 04:45:00+00:00,15946.400390625,16002.400390625,15935.0498046875,15990.9501953125,0
2022-07-15 05:45:00+00:00,15949.349609375,15984.7998046875,15935.900390625,15946.25,0
2022-07-15 06:45:00+00:00,15979.5,15983.0498046875,15927.4501953125,15949.4501953125,0
2022-07-15 07:45:00+00:00,15992.25,15992.25,15945.099609375,15980.0498046875,0
2022-07-15 08:45:00+00:00,16053.25,16054.2001953125,15987.900390625,15993.650390625,0
2022-07-15 09:45:00+00:00,16052.849609375,16066.4501953125,16044.099609375,16052.900390625,0
2022-07-18 03:45:00+00:00,16184.7998046875,16198.2998046875,16146.650390625,16151.400390625,0
2022-07-18 04:45:00+00:00,16210.7001953125,16216.849609375,16171.2998046875,16185.900390625,0
2022-07-18 05:45:00+00:00,16216.2001953125,16220.0498046875,16191.75,16211.150390625,0
2022-07-18 06:45:00+00:00,16218.9501953125,16227.650390625,16210.5,16216.5498046875,0
2022-07-18 07:45:00+00:00,16232.5,16238.25,16197.0498046875,16219.099609375,0
2022-07-18 08:45:00+00:00,16271.0498046875,16283.599609375,16227.0,16232.650390625,0
2022-07-18 09:45:00+00:00,16281.400390625,16286.7998046875,16266.400390625,16271.7001953125,0
2022-07-19 03:45:00+00:00,16294.900390625,16297.599609375,16187.0498046875,16187.0498046875,0
2022-07-19 04:45:00+00:00,16323.2001953125,16328.0498046875,16275.75,16294.75,0
2022-07-19 05:45:00+00:00,16304.650390625,16323.2998046875,16255.150390625,16323.2001953125,0
2022-07-19 06:45:00+00:00,16272.5498046875,16322.25,16269.0498046875,16303.849609375,0
2022-07-19 07:45:00+00:00,16298.2998046875,16315.0,16265.849609375,16271.7998046875,0
2022-07-19 08:45:00+00:00,16350.5498046875,16359.150390625,16279.25,16297.9501953125,0
2022-07-19 09:45:00+00:00,16329.2998046875,16351.650390625,16323.75,16349.900390625,0
2022-07-20 03:45:00+00:00,16542.44921875,16562.80078125,16502.05078125,16562.80078125,0
2022-07-20 04:45:00+00:00,16563.25,16568.69921875,16529.19921875,16543.099609375,0
2022-07-20 05:45:00+00:00,16557.44921875,16567.55078125,16533.849609375,16563.05078125,0
